peer_group,security_code,security_name,archetype,triage_score,preliminary_attention,analyst_dissent_if_reviewer_rejects,dominance_test,moat_summary,advantage_summary,weakness_summary,market_position_summary,source_backed_evidence,source_quality,reviewer_question,source_urls,reviewed_at_utc
金融-银行-股份制与城商行,600036,招商银行,零售与财富管理股份制银行龙头,66.70,core_watch,strong_dissent,not_dominated,招商银行的护城河来自低成本核心负债、零售客户基础、财富管理、信用卡和风险管理文化。资金可以开银行或扩表，但很难买到长期沉淀的零售客户、AUM、风控和品牌信任。,2025 年归母净利润 1501.81 亿元、ROAE 13.44%，FPA 余额 6.73 万亿元。公司继续强调价值银行战略。即使行业净息差下行，盈利和资产质量保持较强韧性。,银行行业整体净息差下行、财富管理费率和零售信用风险仍需跟踪。它不是高成长行业，更像高质量金融特许经营。,A 股银行中最接近质量型核心资产的股份制银行。与国有大行的规模优势、宁波的区域小微优势不同。,2025 年报摘要披露 FPA、利润和战略；年报新闻披露营收、净利、ROAE。金融监管总局/银行业协会披露行业净息差和盈利压力背景。,annual_report_summary_plus_regulator_data,如果你因为银行行业低增长拒绝招商银行，我会反驳：它应作为银行组质量锚。你是否同意？,https://paper.cnstock.com/html/2026-03/28/content_2193399.htm;https://4g.stockstar.com/detail/IG2026032800000033;https://china-cba.net/Index/show/catid/34/id/46216.html,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,002142,宁波银行,优质城商行和中小企业服务样本,64.38,watch,dissent,not_dominated_if_sme_franchise_holds,宁波银行的护城河来自区域经济土壤、中小企业和私人银行客户服务能力、专业化经营与较强资产质量。它不是招行的弱复制品，而是城商行中专业化和区域深耕的优质样本。,2025 年营收 719.69 亿元、归母净利润 293.33 亿元，同比均增长约 8%。2026Q1 营收和利润双位数增长。年报强调“真心对客户好”和差异化核心竞争力。,城商行天然受区域经济、房地产和小微信用周期影响。若离开宁波/长三角优势圈，复制难度和风险都会提高。,A 股城商行质量样本。与招商银行相比规模较小，但在区域中小企业和客户服务上具有差异化。,2025 年报全文和新闻披露营收、净利和战略；研报/新闻披露 2026Q1 提速和分红提升。,annual_report_plus_secondary_summary,你是否认可宁波银行作为城商行差异化样本，还是认为银行组只保留招商银行？,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12194756&stockid=002142;https://finance.sina.com.cn/stock/bxjj/2026-04-24/doc-inhvrnzs7737295.shtml;https://cn.investing.com/news/stock-market-news/article-3330285,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,601658,邮储银行,邮政网络和零售负债型国有银行,49.01,watch_if_differentiated,soft_dissent,not_dominated_if_postal_deposit_network_is_accepted,邮储银行的差异化在于邮政网络、下沉零售客户和低成本存款基础。这不是招商银行的财富管理路线，也不是国有大行的传统对公路线。,2025 年营收 3557.28 亿元、归母净利润 876.23 亿元、非息收入同比增长 18.47%。庞大的网点和零售存款网络构成独特基础。,盈利能力和资产效率不如招行，增长也偏低。邮政网络优势是否能转化为高 ROE 和复利能力需要验证。,国有大行中最具有零售下沉网络差异化的样本。是否保留取决于你是否接受“低成本负债网络”作为独立护城河。,年报新闻披露营收、利润和非息增长；行业资料显示银行业净息差承压，负债端优势更重要。,annual_report_summary_plus_regulator_data,我倾向把邮储列为边界观察而非核心。你是否认为低成本下沉网络足够构成独立关注价值？,https://finance.sina.com.cn/roll/2026-03-30/doc-inhsuvau2583372.shtml;https://china-cba.net/Index/show/catid/34/id/46216.html,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,601128,常熟银行,小微和农商行微贷样本,61.54,watch_if_differentiated,soft_dissent,not_dominated_if_microloan_model_is_accepted,常熟银行的差异化可能来自小微贷款和农商行微贷模型。它不是大银行规模路线，也不是招商的财富管理路线；若微贷风控和高收益资产能力成立，可能有独立样本价值。,2025 年报和研报显示其仍有业绩增长和微贷需求修复逻辑，非息收入占比提升。农商行小微金融通常依赖本地信息和风控经验。,规模小、区域半径窄、小微信用周期和核销压力高。微贷模型如果不能跨周期证明低损失和高 ROE，就应剔除。,小微银行边界样本。是否保留取决于你是否接受小而强的微贷模型作为不可替代差异化。,上交所公告链接和研报点评披露 2025 年报及微贷/核销信息。,annual_report_link_plus_research_report,你是否认可常熟银行这种小微微贷模式有单独观察价值，还是按小市值/区域银行默认剔除？,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-24/601128_20260424_5AUA.pdf;https://www.nxny.com/report/view_6273702.html,2026-05-14T00:00:00+00:00
金融-银行-国有银行,601398,工商银行,系统重要性国有大行,64.85,reject_from_quality_watch,none,value_or_dividend_not_quality_watch,工商银行有系统重要性、最大规模、低成本负债和国家信用背书，但这些更像稳定性和分红/估值属性，而不是质量筛选中的差异化复利能力。,国有大行规模和安全性强，2025 年报为官方完整披露。系统重要性带来难以复制的稳定性。,资产收益率和增长受宏观、利率、政策和对公信贷约束。很难证明它比建设银行/农业银行/中国银行有不可替代差异化。,国有大行代表，但不作为本轮质量观察核心。可未来进入低估/分红组。,官方 2025 年报为主要来源；监管数据说明行业盈利和净息差低位背景。,primary_annual_report_plus_regulator_data,我建议本轮不把工商银行列入质量 watch，而是留给低估/分红策略。你是否同意？,https://v.icbc.com.cn/userfiles/resources/icbcltd/download/2026/2025AnnualReportA.pdf;https://china-cba.net/Index/show/catid/34/id/46216.html,2026-05-14T00:00:00+00:00
金融-银行-国有银行,601939,建设银行,国有大行和基建/住房金融代表,64.00,reject_from_quality_watch,none,value_or_dividend_not_quality_watch,建设银行有基建、住房金融和对公客户基础，但与工商银行等国有大行高度同质。它是稳定资产，不是本轮差异化质量观察的优先对象。,国有大行负债、资本和客户基础稳健。官方披露 2025 年业绩发布和报告材料。,房地产和地方财政信用周期仍会影响资产质量；增长由政策和宏观驱动较多。与其他大行差异不够强。,国有大行之一。可作为低估/分红组，不作为质量 watch。,建设银行官方 2025 年业绩发布材料和监管数据为主要来源。,primary_company_pdf_plus_regulator_data,我建议不因大行稳定性保留建设银行。你是否同意？,https://www.ccb.com/chn/attachDir/2026/03/2026032016453497945.pdf;https://china-cba.net/Index/show/catid/34/id/46216.html,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,601998,中信银行,大型股份制综合银行,65.36,reject_for_now,none,dominated_by_cmb_or_not_differentiated,中信银行有中信集团协同和综合金融资源，但与招商银行相比，零售/财富管理和低成本核心负债优势不够突出；与国有大行相比又缺少系统性规模优势。,2025 年归母净利润 706.18 亿元，同比增长 2.98%；不良率 1.15%，拨备覆盖率 203.61%。业绩稳健但营收略降。,增长和差异化都不够强。集团协同如果不能转化为独特客户/负债/风险优势，不足以进入质量 watch。,大型股份制银行中稳健但不突出。被招行在质量型股份行维度覆盖。,中信银行官方新闻和证券时报披露 2025 年报核心数据。,annual_report_news_plus_company_source,我建议剔除中信银行，除非你认为中信集团协同构成独立不可替代优势。你是否同意？,https://www.citicbank.com/about/companynews/banknew/message/202603/t20260320_3596386.html;https://www.stcn.com/article/detail/3688989.html,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,000001,平安银行,零售转型股份制银行,64.28,reject_for_now,none,dominated_by_cmb_retail_franchise,平安银行曾有零售转型和集团综合金融叙事，但目前与招商银行相比，客户质量、利润稳定性和零售金融品牌不占优势。,2025 年营业总收入 1314.42 亿元，同比下降 10.4%；归母净利润 426.33 亿元，同比下降 4.21%。可持续发展报告披露其公开上市和业务定位。,收入和利润下滑，零售风险和地产/消费信用压力需要跟踪。集团协同不等于银行独立护城河。,股份制银行中被招商银行全面覆盖。暂不关注。,2025 年报简析和公司可持续发展报告披露业绩和基本定位。,annual_summary_plus_company_report,我建议剔除平安银行，因为它被招商银行在零售银行维度覆盖。你是否同意？,https://stock.stockstar.com/RB2026032200001712.shtml;https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12009205&stockid=000001,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,601166,兴业银行,绿色金融和同业金融股份制银行,57.48,reject_for_now,none,distinct_theme_but_not_enough,兴业银行有绿色金融、同业金融和投行/托管等特色，但 2025 年收入利润基本持平，特色业务尚不足以证明其比招商银行或优质城商行更值得质量关注。,2025 年总资产 11.09 万亿元、营收 2127.41 亿元、归母净利润 774.69 亿元、不良率 1.08%、拨备覆盖率 228.41%。,特色业务更像经营标签，未证明能产生更强 ROE、客户粘性或抗周期能力。房地产和对公周期仍需关注。,大型股份制银行中有主题特色但不够强。暂不进入质量 watch。,2025 年报新闻披露核心财务和同业金融业务描述。,annual_report_summary,我建议暂不关注兴业银行，除非你认为绿色/同业金融特色足以构成独立护城河。你是否同意？,https://finance.sina.com.cn/stock/hkstock/ggscyd/2026-03-27/doc-inhsiyyf9934458.shtml,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,600919,江苏银行,江苏区域城商行,56.87,reject_for_now,none,regional_growth_dominated_by_ningbo_standard,江苏银行有江苏区域资源和较好增长，2025 年营收和归母净利润分别增长约 8.82% 和 8.35%，但其优势更像区域经济 beta 和规模扩张，暂未证明比宁波银行有更不可替代的能力。,江苏经济强、资产规模大、业绩稳健，2025 年报披露净利润增长。区域金融资源有价值。,区域银行增长可能来自地方信用扩张和资产投放，跨周期风控和差异化客户能力还需证明。若与宁波银行同类但弱一档，应剔除。,优质区域银行候选，但当前被宁波银行作为城商行质量样本覆盖。,2025 年报 PDF 和研报摘要披露营收、利润、ROE 和净息差信息。,annual_report_pdf_plus_research_report,我建议先剔除江苏银行，除非你希望保留多个优质区域银行。你是否同意？,https://stockmc.xueqiu.com/202604/600919_20260429_X7YV.pdf;https://www.fxbaogao.com/detail/5402167,2026-05-14T00:00:00+00:00
