peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
食品饮料-食品-食品综合,000639,ST西王,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,ST status and execution uncertainty make the food-brand or supply-chain thesis too weak for first-round inclusion.,Rejected for now. ST西王: ST status and execution uncertainty make the food-brand or supply-chain thesis too weak for first-round inclusion. triage 54.83; moat 66.45; technology 35.36; market 61.37; quality 55.09; governance 65.22.,"Reject low-barrier packaged food, regional baked goods, snack retailers, ordinary prepared-food processors, commodity ingredients, weak brands, ST cases, and companies whose category is easily attacked by new brands or channels.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ000639;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000639.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000639.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:01:51+00:00
食品饮料-食品-食品综合,000716,黑芝麻,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"Regional bakery, prepared-food, restaurant, or seasonal food brands have some recognition but insufficient national category dominance versus retained leaders.","Rejected for now. 黑芝麻: Regional bakery, prepared-food, restaurant, or seasonal food brands have some recognition but insufficient national category dominance versus retained leaders. triage 65.03; moat 78.82; technology 53.73; market 66.32; quality 60.00; governance 68.29.","Reject low-barrier packaged food, regional baked goods, snack retailers, ordinary prepared-food processors, commodity ingredients, weak brands, ST cases, and companies whose category is easily attacked by new brands or channels.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ000716;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000716.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000716.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:01:51+00:00
食品饮料-食品-食品综合,001215,千味央厨,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"Regional bakery, prepared-food, restaurant, or seasonal food brands have some recognition but insufficient national category dominance versus retained leaders.","Rejected for now. 千味央厨: Regional bakery, prepared-food, restaurant, or seasonal food brands have some recognition but insufficient national category dominance versus retained leaders. triage 56.51; moat 63.36; technology 40.45; market 57.08; quality 64.15; governance 68.49.","Reject low-barrier packaged food, regional baked goods, snack retailers, ordinary prepared-food processors, commodity ingredients, weak brands, ST cases, and companies whose category is easily attacked by new brands or channels.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001215;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22001215.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22001215.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:01:51+00:00
食品饮料-食品-食品综合,001219,青岛食品,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"Regional bakery, prepared-food, restaurant, or seasonal food brands have some recognition but insufficient national category dominance versus retained leaders.","Rejected for now. 青岛食品: Regional bakery, prepared-food, restaurant, or seasonal food brands have some recognition but insufficient national category dominance versus retained leaders. triage 55.23; moat 59.73; technology 35.18; market 48.21; quality 76.51; governance 69.04.","Reject low-barrier packaged food, regional baked goods, snack retailers, ordinary prepared-food processors, commodity ingredients, weak brands, ST cases, and companies whose category is easily attacked by new brands or channels.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001219;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22001219.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22001219.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:01:51+00:00
食品饮料-食品-食品综合,002216,三全食品,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated food comprehensive rules.,"Boundary watch: Sanquan has long-standing frozen dumpling/tangyuan and prepared-food brand recognition and cold-chain channel experience. It is retained separately from Anjoy because product categories differ, but growth and competition keep it boundary.","Retained. 三全食品: Boundary watch: Sanquan has long-standing frozen dumpling/tangyuan and prepared-food brand recognition and cold-chain channel experience. It is retained separately from Anjoy because product categories differ, but growth and competition keep it boundary. triage 68.95; moat 81.73; technology 49.55; market 82.97; quality 67.45; governance 68.07. Special dimension: 速冻米面品牌.","Retain food companies when they have category-defining consumer mindshare, national channel density, pricing power, vertical supply-chain control, or fermentation/ingredient process capability that cannot be quickly copied by capital alone.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002216;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002216.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002216.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:01:51+00:00
食品饮料-食品-食品综合,002299,圣农发展,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated food comprehensive rules.,"Boundary watch: Sunner has vertically integrated white-feather broiler breeding, farming, slaughtering, and food-processing capacity. Commodity chicken cycles remain, but supply-chain integration justifies observation.","Retained. 圣农发展: Boundary watch: Sunner has vertically integrated white-feather broiler breeding, farming, slaughtering, and food-processing capacity. Commodity chicken cycles remain, but supply-chain integration justifies observation. triage 68.52; moat 82.82; technology 44.09; market 87.77; quality 63.09; governance 66.87. Special dimension: 白羽鸡垂直一体化.","Retain food companies when they have category-defining consumer mindshare, national channel density, pricing power, vertical supply-chain control, or fermentation/ingredient process capability that cannot be quickly copied by capital alone.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002299;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002299.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002299.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:01:51+00:00
食品饮料-食品-食品综合,002481,双塔食品,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"Food ingredient or nutrition-process capability is relevant, but this company lacks enough scale, process leadership, or customer moat versus retained fermentation and ingredient platforms.","Rejected for now. 双塔食品: Food ingredient or nutrition-process capability is relevant, but this company lacks enough scale, process leadership, or customer moat versus retained fermentation and ingredient platforms. triage 57.67; moat 64.09; technology 49.18; market 58.03; quality 57.02; governance 66.31.","Reject low-barrier packaged food, regional baked goods, snack retailers, ordinary prepared-food processors, commodity ingredients, weak brands, ST cases, and companies whose category is easily attacked by new brands or channels.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002481;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002481.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002481.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:01:51+00:00
食品饮料-食品-食品综合,002507,涪陵榨菜,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,Direct watch after company-by-company peer review of food comprehensive companies.,"Direct watch: Fuling Zhacai has a rare category-defining packaged-food brand, strong consumer mindshare, national channel presence, and pricing power in a small but defensible pickled-vegetable niche. This is a brand/channel moat, not a technology moat.","Retained. 涪陵榨菜: Direct watch: Fuling Zhacai has a rare category-defining packaged-food brand, strong consumer mindshare, national channel presence, and pricing power in a small but defensible pickled-vegetable niche. This is a brand/channel moat, not a technology moat. triage 70.13; moat 79.18; technology 53.91; market 76.72; quality 79.67; governance 71.56. Special dimension: 榨菜品类心智.","Retain food companies when they have category-defining consumer mindshare, national channel density, pricing power, vertical supply-chain control, or fermentation/ingredient process capability that cannot be quickly copied by capital alone.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002507;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002507.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002507.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:01:51+00:00
食品饮料-食品-食品综合,002557,洽洽食品,reject,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated food comprehensive rules.,"Boundary watch: Qiaqia has a durable sunflower-seed/nut brand and channel position. The category is slower-growth and easier to attack than direct-watch platforms, so boundary.","Retained. 洽洽食品: Boundary watch: Qiaqia has a durable sunflower-seed/nut brand and channel position. The category is slower-growth and easier to attack than direct-watch platforms, so boundary. triage 58.92; moat 67.91; technology 36.27; market 74.61; quality 62.87; governance 66.85. Special dimension: 坚果瓜子品牌.","Retain food companies when they have category-defining consumer mindshare, national channel density, pricing power, vertical supply-chain control, or fermentation/ingredient process capability that cannot be quickly copied by capital alone.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002557;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002557.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002557.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:01:51+00:00
食品饮料-食品-食品综合,002582,好想你,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"Food ingredient or nutrition-process capability is relevant, but this company lacks enough scale, process leadership, or customer moat versus retained fermentation and ingredient platforms.","Rejected for now. 好想你: Food ingredient or nutrition-process capability is relevant, but this company lacks enough scale, process leadership, or customer moat versus retained fermentation and ingredient platforms. triage 58.30; moat 61.73; technology 41.73; market 59.48; quality 70.69; governance 67.84.","Reject low-barrier packaged food, regional baked goods, snack retailers, ordinary prepared-food processors, commodity ingredients, weak brands, ST cases, and companies whose category is easily attacked by new brands or channels.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002582;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002582.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002582.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:01:51+00:00
