peer_group,security_code,security_name,archetype,triage_score,preliminary_attention,analyst_dissent_if_reviewer_rejects,dominance_test,moat_summary,advantage_summary,weakness_summary,market_position_summary,source_backed_evidence,source_quality,reviewer_question,source_urls,reviewed_at_utc
电子设备-半导体设备,002371,北方华创,半导体设备平台型龙头,66.80,core_watch,strong_dissent,not_dominated,北方华创的护城河来自多品类前道设备平台、长期客户验证、规模化交付、工艺迭代和供应链组织能力。资金可以堆研发团队和产能，但很难短期买到刻蚀、PVD、CVD、立式炉、清洗等多工艺设备在晶圆厂的批量验证记录。,2025 年报披露公司半导体装备业务持续发展，收入和市场占有率快速增长，并推出离子注入、电镀等新产品，立式炉和 PVD 设备继刻蚀机后交付数量突破 1000 台。2025 年营业收入 393.53 亿元，同比增长 30.85%。,净利润同比小幅下降，平台扩张会带来研发、并购整合和交付质量压力。半导体设备也受晶圆厂资本开支周期和国产化竞争影响。,A 股半导体设备平台锚。即使某些单项设备不如专精公司，它仍是最接近国产前道设备平台的公司。,公司 2025 年报披露国产设备加速、产品平台和交付里程碑；年报新闻披露收入、现金流和利润。SEMI 数据支持 2026-2027 设备投资景气背景。,primary_annual_report_plus_industry_source,我建议北方华创作为半导体设备组核心观察。若你因短期利润下滑拒绝它，我会强烈反驳。是否同意？,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122918.PDF;https://finance.sina.cn/tech/2026-04-20/detail-inhvcrna0557365.d.html?vt=4;https://www.semi.org/en/semi-press-release/semi-projects-double-digit-growth-in-global-300mm-fab-equipment-spending-for-2026-and-2027,2026-05-14T00:00:00+00:00
电子设备-半导体设备,688012,中微公司,刻蚀设备与前道核心工艺设备龙头,66.37,core_watch,strong_dissent,not_dominated,中微公司的护城河来自刻蚀设备工艺 know-how、先进逻辑和存储客户验证、研发强度、知识产权和持续拓品能力。半导体刻蚀设备不是有钱就能复制的行业，客户导入和工艺窗口验证是核心壁垒。,2025 年实现营收 123.85 亿元，同比增长 36.62%。刻蚀设备销售约 98.32 亿元，同比增长约 35.12%；LPCVD 设备销售约 5.06 亿元，同比增长约 224.23%。公司继续扩展前道核心工艺能力。,收入仍高度依赖刻蚀设备，且面对海外龙头和国内平台型设备公司的双重竞争。高研发投入会压制短期利润率。,A 股最重要的刻蚀设备龙头之一，与北方华创是互相补充而非简单替代。,年报报道披露营收和刻蚀、LPCVD 销售数据；公司年报链接提供全文来源。,annual_report_pdf_plus_secondary_summary,我建议中微公司与北方华创同时保留，因为它在刻蚀和高端工艺验证上具有独立地位。是否同意？,https://stockmc.xueqiu.com/202603/688012_20260331_3UTD.pdf;https://finance.sina.com.cn/stock/relnews/cn/2026-04-02/doc-inhsztwe2300695.shtml;https://finance.sina.com.cn/stock/relnews/cn/2026-03-31/doc-inhswavw3349354.shtml,2026-05-14T00:00:00+00:00
电子设备-半导体设备,688120,华海清科,CMP 装备与半导体服务龙头,66.65,watch,dissent,not_dominated_if_cmp_moat_accepted,华海清科的护城河来自 CMP 设备、减薄、离子注入、湿法和晶圆再生服务。CMP 是前道平坦化核心工艺，设备需要长期工艺验证和装机服务，不能靠资金短期复制。,2025 年主营收入 46.48 亿元，同比增长 36.46%；半导体装备收入 40.54 亿元，同比增长 33.46%。年报披露 CMP 装备在国产 CMP 装备销售中占 90% 以上份额，12 英寸及 8 英寸 CMP 装备累计出机超过 1000 台。,CMP 之外的平台化扩展仍需验证，现金流同比下降。若未来离子注入、湿法等新业务不能形成第二曲线，可能只是 CMP 单项冠军。,A 股 CMP 设备核心样本。与北方华创、中微公司的刻蚀和薄膜沉积路线不同，具备独立观察价值。,官方 2025 年报披露收入、CMP 份额、累计出机和先进封装/HBM 产线验证情况。,primary_annual_report,我建议保留华海清科，因为 CMP 是独立关键工艺。你是否认可它不是北方华创或中微公司的弱复制？,https://static.cninfo.com.cn/finalpage/2026-04-23/1225156951.PDF;https://finance.sina.com.cn/stock/zqgd/2026-04-23/doc-inhvmvzq3871681.shtml,2026-05-14T00:00:00+00:00
电子设备-半导体设备,688072,拓荆科技,薄膜沉积设备专精龙头,65.51,watch,dissent,not_dominated_if_thin_film_moat_accepted,拓荆科技的护城河来自 PECVD、ALD 和先进键合等薄膜沉积及三维集成相关设备的客户导入和工艺覆盖。薄膜沉积设备对稳定性、一致性和客户工艺适配要求高，资金优势不能直接替代长期验证。,2025 年营收 65.19 亿元，同比增长 58.87%；归母净利润 9.27 亿元，同比增长 34.67%。PECVD 收入约 51.42 亿元，同比增长 75.27%；ALD 收入 3.01 亿元，同比增长 191.82%。,产品集中度仍高，先进工艺扩展和海外客户导入需要持续验证。高增长也可能受国内晶圆厂资本开支周期影响。,A 股薄膜沉积设备核心样本，和刻蚀、CMP、清洗设备公司构成不同工艺环节。,年报新闻和一财披露收入、净利润、PECVD、ALD、混合键合业务数据。,annual_report_summary_plus_financial_media,我建议保留拓荆科技。你是否认可薄膜沉积是足以独立保留的关键设备赛道？,https://finance.sina.com.cn/tech/roll/2026-04-28/doc-inhvzfsq7349196.shtml;https://www.yicai.com/news/103155699.html,2026-05-14T00:00:00+00:00
电子设备-半导体设备,688082,盛美上海,清洗湿法和电镀设备龙头,67.41,watch,dissent,not_dominated_if_cleaning_wet_moat_accepted,盛美上海的护城河来自清洗设备、湿法设备、电镀设备和先进封装湿法设备的技术积累与客户验证。晶圆清洗对良率影响直接，工艺细节和客户验证壁垒很高。,2025 年营业收入 67.86 亿元，同比增长 20.80%；半导体清洗设备收入 45.06 亿元。公司年报披露 SAPS 和 TEBO 兆声波清洗技术，并说明 TEBO 可适用于 28nm 及以下图形晶圆清洗。,经营现金流波动较大，清洗设备仍是核心收入来源。多元化设备能否持续贡献高毛利和全球客户导入，需要继续观察。,A 股清洗和湿法设备核心样本。与北方华创平台路线部分重叠，但在清洗设备和湿法工艺有独立地位。,官方 2025 年报披露产品、技术和收入结构；财报报道披露利润和市占率线索。,primary_annual_report_plus_secondary_summary,我建议保留盛美上海，但需要判断它的清洗湿法优势是否足以对抗北方华创的设备平台化。你是否同意？,https://static.cninfo.com.cn/finalpage/2026-02-27/1224986438.PDF;https://finance.sina.com.cn/roll/2026-03-02/doc-inhppxwy5496993.shtml,2026-05-14T00:00:00+00:00
电子设备-半导体设备,688200,华峰测控,半导体测试设备龙头,71.94,watch_if_differentiated,soft_dissent,not_dominated_if_ate_platform_accepted,华峰测控的护城河来自半导体自动化测试系统平台、长期客户装机、跨品类测试能力和全球客户服务。测试设备不同于前道制程设备，但同样需要软硬件协同、客户验证和稳定性。,2025 年营收 13.46 亿元，同比增长 48.72%；归母净利润 5.36 亿元，同比增长 60.55%。公司 ESG/年报材料披露 2025 年 6 月全球装机量突破 8000 台。,体量比前道设备龙头小，自动化测试设备市场也面临海外龙头和国内同行竞争。需要确认其平台能否覆盖 SoC、功率、模拟等更多高端测试场景。,A 股测试机核心样本之一。是否保留取决于是否把测试设备与前道设备并列为独立关键赛道。,年报和 ESG 报告披露业绩、主营业务、发展历程和装机量。,annual_report_mirror_plus_company_esg_report,我倾向边界保留华峰测控。你是否认可测试设备龙头应该进入半导体设备关注列表？,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12258268&stockid=688200;https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12258242&stockid=688200;https://finance.sina.com.cn/stock/aiassist/yjbg/2026-04-28/doc-inhwaicx1582204.shtml?froms=ggmp,2026-05-14T00:00:00+00:00
电子设备-半导体设备,300604,长川科技,测试设备与分选探针台平台,65.94,watch_if_differentiated,soft_dissent,not_dominated_if_test_handler_probe_accepted,长川科技的护城河来自测试机、分选机、探针台等测试环节产品矩阵和客户导入。它与华峰测控同属测试赛道，但产品结构不完全相同。,2025 年营收 52.92 亿元，同比增长 45.31%；归母净利润 13.31 亿元，同比增长 190.42%。年报披露公司推进探针台、转塔式分选机等研发产业化项目，并继续开拓客户。,需要判断增长是行业复苏和并表/产品周期驱动，还是长期可持续的测试设备平台能力。若被华峰测控全面覆盖，应剔除。,A 股测试设备平台候选。可与华峰测控同时观察，前提是其分选机、探针台、测试机组合具备不同价值。,公司年报和业绩报道披露营收、利润、研发项目和客户拓展。,annual_report_mirror_plus_secondary_summary,我建议把长川科技作为边界案例。你是否认为它与华峰测控有足够差异化，还是应只保留一个测试设备龙头？,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12197571&stockid=300604;https://finance.sina.com.cn/stock/bxjj/2026-04-24/doc-inhvrnzw3072510.shtml,2026-05-14T00:00:00+00:00
电子设备-半导体设备,688361,中科飞测,前道检测和量测设备新锐,58.32,watch_if_differentiated,soft_dissent,not_dominated_if_metrology_moat_accepted,中科飞测的潜在护城河来自检测和量测设备。量检测是先进制程良率控制关键环节，和刻蚀、沉积、CMP、清洗不同，国内替代空间大但验证难度很高。,2025 年营收 20.53 亿元，同比增长 48.75%；归母净利润 5865.26 万元，实现扭亏。年报报道显示暗场纳米图形晶圆缺陷检测设备、无图形晶圆缺陷检测和套刻精度量测设备贡献增长。,盈利能力仍弱，扣非仍亏损，商业化成熟度低于核心设备龙头。需要确认客户导入、重复订单和产品性能是否能跨越早期阶段。,量检测设备边界样本。若认可“当前亏损但技术壁垒高”的原则，它应进入观察而非因短期盈利被直接剔除。,公司年报和证券时报报道披露营收、利润、产品迭代和订单增长原因。,annual_report_mirror_plus_financial_media,我倾向边界保留中科飞测，因为量检测赛道稀缺。你是否接受这种早期高壁垒公司进入观察？,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12185819&stockid=688361;https://www.stcn.com/article/detail/3805929.html,2026-05-14T00:00:00+00:00
电子设备-半导体设备,300567,精测电子,半导体量检测和显示检测复合平台,60.56,watch_if_differentiated,none,not_dominated_if_frontend_metrology_contracts_hold,精测电子的潜在护城河在半导体前道量检测设备，但公司仍有显示、新能源检测业务，半导体业务的纯度和长期竞争力需要拆分。若其膜厚、OCD、电子束等设备在先进存储和 HBM 场景持续放量，则有独立观察价值。,2025 年营收 33.5 亿元，同比增长 30.5%；归母净利润 8202 万元，实现扭亏。年报披露 2025 年与同一交易对手及相关方签订多份膜厚、OCD、电子束等半导体量检测设备合同，应用于先进存储和 HBM 等相关领域。,半导体设备并非唯一主业，历史上显示面板检测属性较重。需要警惕用非半导体业务规模掩盖核心设备竞争力不足。,量检测边界样本。当前不作为核心，留给 reviewer 判断是否保留多个量检测公司。,年报披露半导体量检测合同和主营业务；财报报道披露收入和利润扭亏。,annual_report_mirror_plus_secondary_summary,我建议将精测电子列为边界观察而非核心。你是否认为它和中科飞测只能保留一个？,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12216269&stockid=300567;https://finance.sina.com.cn/stock/zqgd/2026-04-27/doc-inhvyeex2215082.shtml,2026-05-14T00:00:00+00:00
电子设备-半导体设备,688037,芯源微,涂胶显影和化学清洗设备公司,56.82,watch_if_differentiated,none,not_dominated_if_lithography_track_moat_accepted,芯源微的潜在护城河来自涂胶显影、前道清洗、临时键合和解键合设备。涂胶显影与光刻工艺紧密相关，如果核心客户导入成立，则不是简单清洗设备公司。,2025 年营收 19.48 亿元，同比增长 11.11%；归母净利润 0.72 亿元，同比下降 64.64%。年报报道显示公司加大新产品研发，前道化学清洗机及临时键合、解键合设备获得多家大客户订单。,短期利润和现金流明显承压，产品地位低于北方华创、中微、华海、盛美等龙头。若涂胶显影路线无法证明高端工艺地位，应剔除。,涂胶显影边界样本。当前不作为核心，但不应只因利润下降剔除，需要看工艺稀缺性和客户导入。,年报报道披露营收、利润、扣非和新产品订单情况。,annual_report_summary,我建议芯源微作为边界案例。你是否认为涂胶显影设备的稀缺性足以让它进入观察？,https://finance.sina.com.cn/tech/roll/2026-04-20/doc-inhvcrmy3780131.shtml;https://finance.sina.com.cn/stock/zqgd/2026-04-17/doc-inhuvkww6340123.shtml,2026-05-14T00:00:00+00:00
