peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
互联网-互联网商务-电子商务B2B,301110,青木科技,direct_watch,reject_for_now,,analyst_company_by_company_review,rejected because e-commerce brand retail services and TP operations are service businesses with weak moat,青木科技做品牌零售服务、电商代运营、数字营销和消费者运营，能力有价值但服务替代性较高，客户可切换，不符合强平台壁垒。,Reject for now. 青木科技: 青木科技做品牌零售服务、电商代运营、数字营销和消费者运营，能力有价值但服务替代性较高，客户可切换，不符合强平台壁垒。 triage 68.94; moat 64.31; technology 74.33; market 59.42; quality 74.92; governance 71.54.,Reject e-commerce service providers when customer switching costs and proprietary data lock-in are weak.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301110;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301110.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301110.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=301110;www.qingmutec.com,2026-05-15T11:06:03+00:00
互联网-互联网商务-电子商务B2B,300464,星徽股份,direct_watch,reject_for_now,,analyst_company_by_company_review,rejected because hardware manufacturing plus cross-border retail lacks durable platform control,星徽股份的家居五金和消费品跨境运营有规模，但更像产品制造与电商运营组合，缺少平台网络效应或不可替代供应链优势。,Reject for now. 星徽股份: 星徽股份的家居五金和消费品跨境运营有规模，但更像产品制造与电商运营组合，缺少平台网络效应或不可替代供应链优势。 triage 67.62; moat 65.08; technology 77.00; market 59.73; quality 61.85; governance 66.00.,"Reject cross-border product sellers when brand, platform, or supply-chain control is not clearly durable.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300464;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300464.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300464.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=300464;www.sh-abc.cn,2026-05-15T11:06:03+00:00
互联网-互联网商务-电子商务B2B,301381,赛维时代,direct_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for cross-border brand operation and digital supply-chain capability,赛维时代有跨平台销售网络、产品开发、品牌孵化和供应链中台，强于普通铺货型跨境电商；但消费品品牌和平台规则风险仍高。,Watch. 赛维时代: 赛维时代有跨平台销售网络、产品开发、品牌孵化和供应链中台，强于普通铺货型跨境电商；但消费品品牌和平台规则风险仍高。 triage 65.86; moat 59.46; technology 66.17; market 72.35; quality 66.77; governance 66.85.,Boundary retain cross-border brand platforms only when product development and supply-chain systems are stronger than simple traffic arbitrage.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301381;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301381.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301381.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=301381;www.sailvan.com/index.html,2026-05-15T11:06:03+00:00
互联网-互联网商务-电子商务B2B,603613,国联股份,direct_watch,watch,direct_watch,analyst_company_by_company_review,directly retained as an industrial B2B e-commerce and data platform,国联股份的核心是产业互联网、多多平台、工业品和原材料线上交易、产业数据和数字化服务。该类平台若能沉淀交易双方、数据和履约能力，资金不能简单复制。,Watch. 国联股份: 国联股份的核心是产业互联网、多多平台、工业品和原材料线上交易、产业数据和数字化服务。该类平台若能沉淀交易双方、数据和履约能力，资金不能简单复制。 triage 65.25; moat 60.23; technology 63.50; market 76.35; quality 57.85; governance 66.38.,"Retain B2B platforms when transaction network, industry data, and digital supply-chain services reinforce each other.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH603613;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603613.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603613.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603613;www.ueiibi.com,2026-05-15T11:06:03+00:00
互联网-互联网商务-电子商务B2B,300592,华凯易佰,boundary_watch,reject_for_now,,analyst_company_by_company_review,rejected because cross-border export e-commerce is weaker than retained digital brand platforms,华凯易佰转型跨境出口电商后有增长，但模式更接近多品类运营和渠道销售，差异化弱于赛维时代，暂不重复保留。,Reject for now. 华凯易佰: 华凯易佰转型跨境出口电商后有增长，但模式更接近多品类运营和渠道销售，差异化弱于赛维时代，暂不重复保留。 triage 64.72; moat 61.69; technology 63.33; market 67.42; quality 64.31; governance 67.77.,Reject weaker cross-border e-commerce operators when stronger retained peers already cover the digital supply-chain thesis.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300592;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300592.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300592.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=300592;www.huakai.net,2026-05-15T11:06:03+00:00
互联网-互联网商务-电子商务B2B,002803,吉宏股份,boundary_watch,reject_for_now,,analyst_company_by_company_review,rejected because social e-commerce and packaging mix does not create a clean moat,吉宏股份有跨境社交电商和包装业务，但流量投放、社交电商渠道和包装制造都难形成长期不可替代优势，业务混合削弱清晰度。,Reject for now. 吉宏股份: 吉宏股份有跨境社交电商和包装业务，但流量投放、社交电商渠道和包装制造都难形成长期不可替代优势，业务混合削弱清晰度。 triage 64.19; moat 57.92; technology 61.67; market 67.12; quality 71.38; governance 68.23.,Reject mixed e-commerce and manufacturing companies when neither side has category control.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002803;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002803.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002803.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=002803;www.jihong.cn,2026-05-15T11:06:03+00:00
互联网-互联网商务-电子商务B2B,002315,焦点科技,boundary_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for Made-in-China.com and cross-border B2B buyer-supplier network,焦点科技长期运营中国制造网等外贸B2B平台，有买卖双方网络和跨境服务积累；但面对阿里国际站等强平台竞争，边界保留。,Watch. 焦点科技: 焦点科技长期运营中国制造网等外贸B2B平台，有买卖双方网络和跨境服务积累；但面对阿里国际站等强平台竞争，边界保留。 triage 64.16; moat 54.85; technology 65.00; market 60.35; quality 75.54; governance 67.31.,Boundary retain cross-border B2B platforms when network history is real but stronger global competitors limit moat depth.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002315;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002315.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002315.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=002315;www.focuschina.com,2026-05-15T11:06:03+00:00
互联网-互联网商务-电子商务B2B,301563,云汉芯城,boundary_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for electronic-component supply-chain digitization,云汉芯城聚焦电子元器件供应链数字化和信息数据服务，具备工业互联网平台属性；但上市时间较短、规模和议价能力仍需深度验证。,Watch. 云汉芯城: 云汉芯城聚焦电子元器件供应链数字化和信息数据服务，具备工业互联网平台属性；但上市时间较短、规模和议价能力仍需深度验证。 triage 63.53; moat 56.38; technology 67.83; market 59.12; quality 66.77; governance 69.62.,Boundary retain vertical supply-chain platforms when category data and procurement workflow create potential switching costs.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301563;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301563.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301563.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=301563;www.ickey.cn,2026-05-15T11:06:03+00:00
互联网-互联网商务-电子商务B2B,300226,上海钢联,boundary_watch,watch,direct_watch,analyst_company_by_company_review,"directly retained as a commodity data, pricing, and B2B platform",上海钢联不仅是交易平台，更有钢铁和大宗商品资讯、价格数据、研究、仓储物流和供应链服务。数据口径、客户习惯和行业覆盖形成较强壁垒。,Watch. 上海钢联: 上海钢联不仅是交易平台，更有钢铁和大宗商品资讯、价格数据、研究、仓储物流和供应链服务。数据口径、客户习惯和行业覆盖形成较强壁垒。 triage 62.07; moat 61.00; technology 56.83; market 74.81; quality 51.08; governance 65.46.,"Retain industrial data and pricing platforms when data history, customer workflow, and transaction services create lock-in.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300226;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300226.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300226.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=300226;www.mysteel.com,2026-05-15T11:06:03+00:00
互联网-互联网商务-电子商务B2B,002640,跨境通,reject,reject_for_now,,analyst_company_by_company_review,rejected because legacy cross-border e-commerce problems undermine platform credibility,跨境通曾是跨境电商代表公司，但历史经营和财务问题、渠道竞争和品牌弱化使其不再具备第一轮观察价值。,Reject for now. 跨境通: 跨境通曾是跨境电商代表公司，但历史经营和财务问题、渠道竞争和品牌弱化使其不再具备第一轮观察价值。 triage 59.73; moat 57.15; technology 64.00; market 55.73; quality 54.00; governance 65.92.,Reject legacy e-commerce platforms when past scale is not supported by current execution and governance evidence.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002640;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002640.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002640.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1;https://www.szse.cn/disclosure/listed/notice/index.html?stock=002640;www.kjtbao.com,2026-05-15T11:06:03+00:00
