peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
医药生物-化学制药-化学原料药,000739,普洛药业,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,"Direct watch: clear API, regulated manufacturing, or radiopharma platform after company-by-company review.","API-CDMO and formulation integration platform with long process-development capability, customer validation, and manufacturing quality systems.","Retained. 普洛药业: API-CDMO and formulation integration platform with long process-development capability, customer validation, and manufacturing quality systems. triage 74.46; moat 72.82; technology 84.09; market 86.05; quality 56.18; governance 67.68.","Retain API companies when process development, quality systems, regulatory filings, cost position, or scarce licenses create durable barriers beyond commodity chemical capacity.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ000739;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000739.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000739.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
医药生物-化学制药-化学原料药,603707,健友股份,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,"Direct watch: clear API, regulated manufacturing, or radiopharma platform after company-by-company review.",Heparin/sterile injectable platform with international registration and manufacturing quality barriers.,Retained. 健友股份: Heparin/sterile injectable platform with international registration and manufacturing quality barriers. triage 73.82; moat 71.42; technology 81.18; market 81.28; quality 65.47; governance 68.95.,"Retain API companies when process development, quality systems, regulatory filings, cost position, or scarce licenses create durable barriers beyond commodity chemical capacity.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH603707;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603707.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603707.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
医药生物-化学制药-化学原料药,300401,花园生物,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated API rules.,Vitamin D3 and lanolin-cholesterol integration platform; retained as a boundary nutrient/API niche with cost/process advantages.,Retained after boundary review. 花园生物: Vitamin D3 and lanolin-cholesterol integration platform; retained as a boundary nutrient/API niche with cost/process advantages. triage 71.88; moat 68.44; technology 80.36; market 72.08; quality 70.21; governance 68.42.,"Boundary API retention requires a distinct regulated-product, cost/process, excipient, contrast-agent, or specialty-ingredient niche.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300401;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300401.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300401.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
医药生物-化学制药-化学原料药,000597,东北制药,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"API/process capability exists, but the product is more commodity-like, cyclical, or duplicative than retained regulated API/CDMO platforms.","Rejected for now. 东北制药: API/process capability exists, but the product is more commodity-like, cyclical, or duplicative than retained regulated API/CDMO platforms. triage 71.81; moat 75.12; technology 75.18; market 81.77; quality 59.12; governance 66.95.","Reject commodity, cyclical, weakly differentiated, or duplicate API/intermediate producers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ000597;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000597.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000597.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
医药生物-化学制药-化学原料药,300765,新诺威,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated API rules.,Caffeine and functional-ingredient plus health-product platform; retained narrowly for scale and product economics.,Retained after boundary review. 新诺威: Caffeine and functional-ingredient plus health-product platform; retained narrowly for scale and product economics. triage 70.61; moat 72.67; technology 86.00; market 66.68; quality 60.74; governance 67.05.,"Boundary API retention requires a distinct regulated-product, cost/process, excipient, contrast-agent, or specialty-ingredient niche.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300765;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300765.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300765.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
医药生物-化学制药-化学原料药,002099,海翔药业,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"API/process capability exists, but the product is more commodity-like, cyclical, or duplicative than retained regulated API/CDMO platforms.","Rejected for now. 海翔药业: API/process capability exists, but the product is more commodity-like, cyclical, or duplicative than retained regulated API/CDMO platforms. triage 67.71; moat 69.32; technology 78.27; market 65.91; quality 54.18; governance 69.16.","Reject commodity, cyclical, weakly differentiated, or duplicate API/intermediate producers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002099;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002099.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002099.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
医药生物-化学制药-化学原料药,300267,尔康制药,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"API/process capability exists, but the product is more commodity-like, cyclical, or duplicative than retained regulated API/CDMO platforms.","Rejected for now. 尔康制药: API/process capability exists, but the product is more commodity-like, cyclical, or duplicative than retained regulated API/CDMO platforms. triage 67.15; moat 67.91; technology 77.27; market 60.93; quality 55.23; governance 70.21.","Reject commodity, cyclical, weakly differentiated, or duplicate API/intermediate producers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300267;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300267.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300267.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
医药生物-化学制药-化学原料药,600267,海正药业,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated API rules.,"Legacy antibiotic/API and formulation platform; retained as boundary due to scale and international manufacturing history, with lower conviction.","Retained after boundary review. 海正药业: Legacy antibiotic/API and formulation platform; retained as boundary due to scale and international manufacturing history, with lower conviction. triage 67.00; moat 65.00; technology 68.27; market 77.49; quality 63.61; governance 67.11.","Boundary API retention requires a distinct regulated-product, cost/process, excipient, contrast-agent, or specialty-ingredient niche.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600267;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600267.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600267.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
医药生物-化学制药-化学原料药,002550,千红制药,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"reviewed company by company inside API/chemical raw drugs; useful manufacturing capability exists, but no distinct regulatory, cost, process, or customer-validation moat is evident versus retained peers.","Rejected for now. 千红制药: reviewed company by company inside API/chemical raw drugs; useful manufacturing capability exists, but no distinct regulatory, cost, process, or customer-validation moat is evident versus retained peers. triage 66.92; moat 60.96; technology 71.18; market 65.77; quality 72.07; governance 70.47.","Reject commodity, cyclical, weakly differentiated, or duplicate API/intermediate producers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002550;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002550.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002550.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
医药生物-化学制药-化学原料药,605116,奥锐特,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"API/process capability exists, but the product is more commodity-like, cyclical, or duplicative than retained regulated API/CDMO platforms.","Rejected for now. 奥锐特: API/process capability exists, but the product is more commodity-like, cyclical, or duplicative than retained regulated API/CDMO platforms. triage 66.30; moat 58.14; technology 71.55; market 66.47; quality 75.96; governance 67.74.","Reject commodity, cyclical, weakly differentiated, or duplicate API/intermediate producers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH605116;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22605116.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22605116.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
