peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
公用事业-环保-环保,601033,XD永兴股,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under environmental-services rules.,Environmental resource-recycling/solid-waste platform with high first-pass scores; retained as a boundary case pending later direct annual-report replacement of aggregator evidence.,Retained after boundary review. XD永兴股: Environmental resource-recycling/solid-waste platform with high first-pass scores; retained as a boundary case pending later direct annual-report replacement of aggregator evidence. triage 81.73; moat 83.76; technology 92.02; market 91.39; quality 73.65; governance 68.61.,"Boundary environmental retention is allowed for utility-like concession operators or differentiated membrane/hazardous-waste technology, not generic project contractors.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH601033;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601033.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601033.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
公用事业-环保-环保,000711,ST京蓝,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,risk-warning status or unresolved operating stress prevents first-pass inclusion without a separate recovery thesis.,Rejected for now. ST京蓝: risk-warning status or unresolved operating stress prevents first-pass inclusion without a separate recovery thesis. triage 73.52; moat 79.12; technology 90.33; market 68.91; quality 50.78; governance 69.11.,"Reject environmental-service companies whose economics are project-based, local, bidding-driven, low-tech, or already covered by stronger retained operators.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ000711;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000711.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000711.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
公用事业-环保-环保,603568,伟明环保,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,Direct watch: strongest environmental concession/operator platform after company-by-company review.,"Waste-to-energy and solid-waste operation platform with strong project execution, operating efficiency, and cash-flow quality; retained as the clear environmental-utility anchor.","Retained. 伟明环保: Waste-to-energy and solid-waste operation platform with strong project execution, operating efficiency, and cash-flow quality; retained as the clear environmental-utility anchor. triage 70.67; moat 81.47; technology 42.25; market 85.72; quality 80.71; governance 70.31.","Environmental companies qualify only when concession quality, operating discipline, scarce qualification, or real process technology is visible; industry growth alone is not enough.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH603568;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603568.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603568.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
公用事业-环保-环保,600292,电投水电,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"environmental engineering capability is useful, but most projects are bidding/relationship driven and more replicable than retained membrane or concession operators.","Rejected for now. 电投水电: environmental engineering capability is useful, but most projects are bidding/relationship driven and more replicable than retained membrane or concession operators. triage 69.98; moat 85.41; technology 42.45; market 86.52; quality 73.51; governance 67.34.","Reject environmental-service companies whose economics are project-based, local, bidding-driven, low-tech, or already covered by stronger retained operators.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600292;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600292.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600292.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
公用事业-环保-环保,301109,军信股份,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under environmental-services rules.,Regional waste-to-energy and sludge/solid-waste operator with strong local concession economics; retained narrowly for operating quality.,Retained after boundary review. 军信股份: Regional waste-to-energy and sludge/solid-waste operator with strong local concession economics; retained narrowly for operating quality. triage 69.90; moat 82.82; technology 47.30; market 79.84; quality 85.44; governance 71.08.,"Boundary environmental retention is allowed for utility-like concession operators or differentiated membrane/hazardous-waste technology, not generic project contractors.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301109;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301109.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301109.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
公用事业-环保-环保,601827,三峰环境,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under environmental-services rules.,"Waste-to-energy operator with scale and project-operation experience; retained as a boundary concession-operations case, not a high-growth compounder.","Retained after boundary review. 三峰环境: Waste-to-energy operator with scale and project-operation experience; retained as a boundary concession-operations case, not a high-growth compounder. triage 69.32; moat 84.24; technology 43.69; market 84.64; quality 79.11; governance 69.74.","Boundary environmental retention is allowed for utility-like concession operators or differentiated membrane/hazardous-waste technology, not generic project contractors.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH601827;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601827.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601827.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
公用事业-环保-环保,688101,三达膜,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under environmental-services rules.,Membrane-technology company; retained as a boundary case because membrane materials/process know-how is more technical than ordinary environmental engineering.,Retained after boundary review. 三达膜: Membrane-technology company; retained as a boundary case because membrane materials/process know-how is more technical than ordinary environmental engineering. triage 68.89; moat 81.53; technology 49.47; market 75.22; quality 83.20; governance 71.36.,"Boundary environmental retention is allowed for utility-like concession operators or differentiated membrane/hazardous-waste technology, not generic project contractors.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH688101;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688101.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688101.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
公用事业-环保-环保,601330,绿色动力,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under environmental-services rules.,Waste-to-energy concession operator; retained as a boundary utility-like environmental platform while monitoring returns and project pipeline.,Retained after boundary review. 绿色动力: Waste-to-energy concession operator; retained as a boundary utility-like environmental platform while monitoring returns and project pipeline. triage 68.70; moat 86.41; technology 41.60; market 81.34; quality 82.85; governance 68.12.,"Boundary environmental retention is allowed for utility-like concession operators or differentiated membrane/hazardous-waste technology, not generic project contractors.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH601330;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601330.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601330.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
公用事业-环保-环保,000546,金圆股份,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"environmental engineering capability is useful, but most projects are bidding/relationship driven and more replicable than retained membrane or concession operators.","Rejected for now. 金圆股份: environmental engineering capability is useful, but most projects are bidding/relationship driven and more replicable than retained membrane or concession operators. triage 68.67; moat 85.29; technology 46.00; market 77.72; quality 68.31; governance 71.65.","Reject environmental-service companies whose economics are project-based, local, bidding-driven, low-tech, or already covered by stronger retained operators.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ000546;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000546.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000546.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
公用事业-环保-环保,002034,旺能环境,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under environmental-services rules.,Waste-to-energy and solid-waste operator with stable concessions; retained narrowly as a boundary utility-style case.,Retained after boundary review. 旺能环境: Waste-to-energy and solid-waste operator with stable concessions; retained narrowly as a boundary utility-style case. triage 68.58; moat 80.18; technology 46.11; market 80.96; quality 82.54; governance 69.88.,"Boundary environmental retention is allowed for utility-like concession operators or differentiated membrane/hazardous-waste technology, not generic project contractors.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002034;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002034.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002034.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
