peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
交运设备-汽车-汽车零部件,603786,科博达,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,Direct watch: clear auto-parts platform or safety/technology leader after company-by-company review.,Automotive electronics and lighting/control module specialist with Volkswagen/global customer validation and embedded design-in stickiness.,Retained. 科博达: Automotive electronics and lighting/control module specialist with Volkswagen/global customer validation and embedded design-in stickiness. triage 69.50; moat 64.44; technology 79.75; market 79.51; quality 61.19; governance 70.30.,"Retain auto-parts companies when global OEM validation, safety-critical certification, software/electronics platform depth, or hard manufacturing process creates durable barriers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH603786;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603786.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603786.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
交运设备-汽车-汽车零部件,603596,DR伯特利,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,Direct watch: clear auto-parts platform or safety/technology leader after company-by-company review.,"Brake-by-wire, chassis-control, and active-safety component leader with safety-critical validation and customer switching barriers.","Retained. DR伯特利: Brake-by-wire, chassis-control, and active-safety component leader with safety-critical validation and customer switching barriers. triage 69.30; moat 67.99; technology 75.48; market 81.76; quality 59.08; governance 68.03.","Retain auto-parts companies when global OEM validation, safety-critical certification, software/electronics platform depth, or hard manufacturing process creates durable barriers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH603596;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603596.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603596.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
交运设备-汽车-汽车零部件,301656,联合动力,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated auto-parts rules.,New-energy electric-drive and powertrain component supplier; retained as a boundary case because customer validation and integration depth appear stronger than generic component peers.,Retained after boundary review. 联合动力: New-energy electric-drive and powertrain component supplier; retained as a boundary case because customer validation and integration depth appear stronger than generic component peers. triage 69.25; moat 65.58; technology 78.69; market 83.26; quality 53.73; governance 66.78.,"Boundary auto-parts retention requires a distinct intelligent-vehicle, safety, drivetrain, lightweighting, thermal, or globalized platform niche not fully covered by stronger peers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301656;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301656.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301656.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
交运设备-汽车-汽车零部件,002920,德赛西威,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,Direct watch: clear auto-parts platform or safety/technology leader after company-by-company review.,"Intelligent cockpit/ADAS domain-controller platform with strong OEM validation, software-hardware integration, and automotive electronics iteration capability.","Retained. 德赛西威: Intelligent cockpit/ADAS domain-controller platform with strong OEM validation, software-hardware integration, and automotive electronics iteration capability. triage 69.05; moat 62.83; technology 78.66; market 84.32; quality 56.39; governance 68.53.","Retain auto-parts companies when global OEM validation, safety-critical certification, software/electronics platform depth, or hard manufacturing process creates durable barriers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002920;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002920.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002920.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
交运设备-汽车-汽车零部件,600741,华域汽车,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated auto-parts rules.,Large domestic auto-parts platform with breadth and customer reach; retained as a boundary scale platform though margins and state-owned structure reduce conviction.,Retained after boundary review. 华域汽车: Large domestic auto-parts platform with breadth and customer reach; retained as a boundary scale platform though margins and state-owned structure reduce conviction. triage 68.76; moat 65.96; technology 71.46; market 84.78; quality 47.10; governance 66.66.,"Boundary auto-parts retention requires a distinct intelligent-vehicle, safety, drivetrain, lightweighting, thermal, or globalized platform niche not fully covered by stronger peers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600741;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600741.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600741.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
交运设备-汽车-汽车零部件,000338,潍柴动力,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,Direct watch: clear auto-parts platform or safety/technology leader after company-by-company review.,"Heavy-duty powertrain and engine platform with global scale, supply chain, service network, and system integration depth.","Retained. 潍柴动力: Heavy-duty powertrain and engine platform with global scale, supply chain, service network, and system integration depth. triage 68.58; moat 69.00; technology 72.50; market 85.00; quality 54.69; governance 66.63.","Retain auto-parts companies when global OEM validation, safety-critical certification, software/electronics platform depth, or hard manufacturing process creates durable barriers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ000338;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000338.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000338.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
交运设备-汽车-汽车零部件,000887,中鼎股份,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated auto-parts rules.,"Sealing, fluid pipeline, and rubber component platform with global customer acquisition history; retained as a boundary component-system case.","Retained after boundary review. 中鼎股份: Sealing, fluid pipeline, and rubber component platform with global customer acquisition history; retained as a boundary component-system case. triage 68.22; moat 65.45; technology 74.59; market 83.16; quality 56.24; governance 68.61.","Boundary auto-parts retention requires a distinct intelligent-vehicle, safety, drivetrain, lightweighting, thermal, or globalized platform niche not fully covered by stronger peers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ000887;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000887.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000887.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
交运设备-汽车-汽车零部件,600699,均胜电子,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated auto-parts rules.,Automotive safety and electronics platform with global assets; retained despite integration and margin cyclicality.,Retained after boundary review. 均胜电子: Automotive safety and electronics platform with global assets; retained despite integration and margin cyclicality. triage 67.74; moat 65.92; technology 76.12; market 84.41; quality 50.48; governance 66.56.,"Boundary auto-parts retention requires a distinct intelligent-vehicle, safety, drivetrain, lightweighting, thermal, or globalized platform niche not fully covered by stronger peers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600699;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600699.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600699.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
交运设备-汽车-汽车零部件,300446,航天智造,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"manufacturing capability and OEM relationships are real, but the process is more replicable and price-competitive than retained global or high-barrier lightweighting platforms.","Rejected for now. 航天智造: manufacturing capability and OEM relationships are real, but the process is more replicable and price-competitive than retained global or high-barrier lightweighting platforms. triage 67.18; moat 61.78; technology 74.06; market 80.61; quality 59.03; governance 68.86.","Reject auto-parts companies whose advantage is mainly OEM relationship, capacity, machining, assembly, or low-margin manufacturing that stronger peers can cover.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300446;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300446.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300446.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
交运设备-汽车-汽车零部件,000559,万向钱潮,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated auto-parts rules.,Traditional drivetrain and chassis parts platform; retained narrowly for scale and customer base while monitoring EV substitution.,Retained after boundary review. 万向钱潮: Traditional drivetrain and chassis parts platform; retained narrowly for scale and customer base while monitoring EV substitution. triage 66.98; moat 65.16; technology 73.07; market 81.98; quality 52.28; governance 66.89.,"Boundary auto-parts retention requires a distinct intelligent-vehicle, safety, drivetrain, lightweighting, thermal, or globalized platform niche not fully covered by stronger peers.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ000559;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000559.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000559.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
