peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
交通运输-港口航运-港口,001872,招商港口,direct_watch,watch,direct_watch,analyst_company_by_company_review,directly retained as a national and global port-platform operator,招商港口具备全国及海外港口资产平台属性，码头运营、投资整合、全球网络和招商局资源构成强于单一地方港的长期优势。,Watch. 招商港口: 招商港口具备全国及海外港口资产平台属性，码头运营、投资整合、全球网络和招商局资源构成强于单一地方港的长期优势。 triage 69.53; moat 83.78; technology 47.43; market 81.78; quality 84.56; governance 68.67.,"Retain port platforms with national/global network, capital allocation, and terminal-operation capability.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001872;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22001872.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22001872.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:35:33+00:00
交通运输-港口航运-港口,601018,宁波港,direct_watch,watch,direct_watch,analyst_company_by_company_review,directly retained as a world-scale Ningbo-Zhoushan gateway,宁波港背靠长三角和宁波舟山世界级深水港群，集装箱和大宗吞吐规模、深水岸线、腹地制造业货源和港口协同难以复制。,Watch. 宁波港: 宁波港背靠长三角和宁波舟山世界级深水港群，集装箱和大宗吞吐规模、深水岸线、腹地制造业货源和港口协同难以复制。 triage 68.77; moat 85.44; technology 42.86; market 87.11; quality 74.89; governance 69.33.,Retain world-scale deepwater gateway ports with irreplaceable hinterland and throughput position.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH601018;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601018.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601018.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:35:33+00:00
交通运输-港口航运-港口,600018,上港集团,direct_watch,watch,direct_watch,analyst_company_by_company_review,directly retained as the Shanghai international shipping gateway,上港集团是上海国际航运中心核心港口平台，洋山等深水集装箱资源、腹地、航线密度和长期枢纽地位构成强护城河。,Watch. 上港集团: 上港集团是上海国际航运中心核心港口平台，洋山等深水集装箱资源、腹地、航线密度和长期枢纽地位构成强护城河。 triage 68.49; moat 86.00; technology 37.14; market 90.00; quality 79.78; governance 69.00.,Retain core international container gateway ports with route density and hub status.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600018;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600018.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600018.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:35:33+00:00
交通运输-港口航运-港口,601298,青岛港,direct_watch,watch,direct_watch,analyst_company_by_company_review,directly retained as a high-quality northern China comprehensive port,青岛港在集装箱、油品、矿石等综合港口业务中具备北方核心枢纽地位，腹地、自动化码头和经营效率较优。,Watch. 青岛港: 青岛港在集装箱、油品、矿石等综合港口业务中具备北方核心枢纽地位，腹地、自动化码头和经营效率较优。 triage 68.13; moat 84.33; technology 40.57; market 84.67; quality 76.89; governance 70.00.,"Retain regional comprehensive port leaders when they combine scale, cargo diversity, and operating efficiency.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH601298;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601298.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601298.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:35:33+00:00
交通运输-港口航运-港口,601326,秦港股份,direct_watch,reject_for_now,,analyst_company_by_company_review,rejected because coal-port stability faces long-term cargo headwind,秦港股份煤炭港口地位稳定，但长期能源结构变化削弱复利增长，且同类货种壁垒不如综合/集装箱枢纽。,Rejected for now. 秦港股份: 秦港股份煤炭港口地位稳定，但长期能源结构变化削弱复利增长，且同类货种壁垒不如综合/集装箱枢纽。 triage 66.22; moat 80.44; technology 45.00; market 71.11; quality 78.89; governance 71.00.,Reject single-cargo coal ports unless transition or economics create a stronger long-term thesis.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH601326;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601326.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601326.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:35:33+00:00
交通运输-港口航运-港口,601000,唐山港,direct_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for efficient bulk-port economics,唐山港效率和盈利质量较好，服务钢铁、矿石、煤炭等大宗腹地，港口资源有壁垒；但货种周期和钢铁链长期空间限制为边界。,Watch. 唐山港: 唐山港效率和盈利质量较好，服务钢铁、矿石、煤炭等大宗腹地，港口资源有壁垒；但货种周期和钢铁链长期空间限制为边界。 triage 65.61; moat 76.89; technology 44.29; market 70.22; quality 81.56; governance 72.00.,Boundary retain efficient bulk ports only when local cargo control and economics are strong.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH601000;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601000.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601000.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:35:33+00:00
交通运输-港口航运-港口,601880,辽港股份,boundary_watch,reject_for_now,,analyst_company_by_company_review,rejected because northeast regional platform lacks superior growth and economics,辽港股份港口资源有天然壁垒，但东北腹地增长和经营效率相对弱，难以与保留的一线和成长型港口相比。,Rejected for now. 辽港股份: 辽港股份港口资源有天然壁垒，但东北腹地增长和经营效率相对弱，难以与保留的一线和成长型港口相比。 triage 63.60; moat 82.11; technology 35.71; market 74.44; quality 70.78; governance 70.67.,Reject regional port platforms where hinterland growth and economics are weak.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH601880;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601880.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601880.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:35:33+00:00
交通运输-港口航运-港口,600717,天津港,boundary_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for Beijing-Tianjin-Hebei gateway status,天津港具备京津冀门户和北方综合港地位，港口资源不可复制；但历史治理、安全和经营效率问题使其弱于青岛、上港、宁波。,Watch. 天津港: 天津港具备京津冀门户和北方综合港地位，港口资源不可复制；但历史治理、安全和经营效率问题使其弱于青岛、上港、宁波。 triage 63.51; moat 79.67; technology 40.00; market 74.00; quality 70.78; governance 69.67.,Boundary retain major regional gateway ports when resource position is strong but execution quality is less clear.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600717;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600717.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600717.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:35:33+00:00
交通运输-港口航运-港口,000582,北部湾港,boundary_watch,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained for Beibu Gulf and ASEAN gateway growth,北部湾港受益西部陆海新通道和面向东盟的区位，区域增长和政策枢纽属性较好；但规模和成熟现金流弱于一线港口。,Watch. 北部湾港: 北部湾港受益西部陆海新通道和面向东盟的区位，区域增长和政策枢纽属性较好；但规模和成熟现金流弱于一线港口。 triage 63.13; moat 78.00; technology 39.86; market 70.67; quality 76.00; governance 67.67.,Boundary retain emerging strategic gateway ports when policy corridor and hinterland growth are visible.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ000582;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000582.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000582.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:35:33+00:00
交通运输-港口航运-港口,000905,厦门港务,boundary_watch,reject_for_now,,analyst_company_by_company_review,rejected because Xiamen listed exposure is less compelling than stronger coastal peers,厦门港务有区域港口和物流业务，但规模、现金流质量和上市公司口径不如宁波、上港、招商、青岛等代表性平台。,Rejected for now. 厦门港务: 厦门港务有区域港口和物流业务，但规模、现金流质量和上市公司口径不如宁波、上港、招商、青岛等代表性平台。 triage 62.45; moat 84.89; technology 35.00; market 77.56; quality 60.11; governance 68.00.,Reject smaller coastal ports when stronger retained peers cover the thesis.,true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ000905;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000905.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22000905.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T10:35:33+00:00
