peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
电子设备-消费电子设备-消费电子设备,600745,*ST闻泰,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,"Direct watch: clear global consumer-electronics, semiconductor, or intelligent-manufacturing platform after company-by-company review.",Semiconductor and product-integration platform with power/discrete/analog semiconductor assets plus global terminal ODM capability; retained despite ST/governance-cycle risk because the capability is not ordinary consumer-electronics assembly.,Retained. *ST闻泰: Semiconductor and product-integration platform with power/discrete/analog semiconductor assets plus global terminal ODM capability; retained despite ST/governance-cycle risk because the capability is not ordinary consumer-electronics assembly. triage 80.85; moat 88.60; technology 96.63; market 85.37; quality 49.67; governance 69.35.,"Retain consumer-electronics companies when global platform scale, leading-customer qualification, semiconductor/system capability, or differentiated terminal ecosystem creates barriers not easily bought with capital.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH600745;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600745.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22600745.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
电子设备-消费电子设备-消费电子设备,688696,极米科技,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated consumer-electronics rules.,"Smart-projector and laser-TV leader with optical-engine, image-quality, perception-algorithm, software, brand, and channel advantages in a focused display niche.","Retained after boundary review. 极米科技: Smart-projector and laser-TV leader with optical-engine, image-quality, perception-algorithm, software, brand, and channel advantages in a focused display niche. triage 72.31; moat 69.28; technology 87.27; market 71.95; quality 62.47; governance 68.65.","Boundary retention requires a distinct brand, module, optical-display, high-end-audio, edge-AI, or digital-manufacturing niche that is not fully covered by stronger retained platforms.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH688696;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688696.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22688696.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
电子设备-消费电子设备-消费电子设备,601138,工业富联,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,"Direct watch: clear global consumer-electronics, semiconductor, or intelligent-manufacturing platform after company-by-company review.","Global high-end EMS, AI server, network equipment, and industrial-internet platform with scale, automation, customer qualification, and smart-factory know-how.","Retained. 工业富联: Global high-end EMS, AI server, network equipment, and industrial-internet platform with scale, automation, customer qualification, and smart-factory know-how. triage 72.17; moat 70.00; technology 77.24; market 86.00; quality 56.19; governance 67.40.","Retain consumer-electronics companies when global platform scale, leading-customer qualification, semiconductor/system capability, or differentiated terminal ecosystem creates barriers not easily bought with capital.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH601138;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601138.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22601138.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
电子设备-消费电子设备-消费电子设备,300857,协创数据,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated consumer-electronics rules.,"AIoT terminal, intelligent storage, and cloud/compute service integration platform; retained as a boundary case because the thesis depends on whether terminal-plus-cloud integration becomes durable.","Retained after boundary review. 协创数据: AIoT terminal, intelligent storage, and cloud/compute service integration platform; retained as a boundary case because the thesis depends on whether terminal-plus-cloud integration becomes durable. triage 72.15; moat 67.67; technology 79.95; market 78.09; quality 65.44; governance 66.42.","Boundary retention requires a distinct brand, module, optical-display, high-end-audio, edge-AI, or digital-manufacturing niche that is not fully covered by stronger retained platforms.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300857;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300857.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300857.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
电子设备-消费电子设备-消费电子设备,603296,华勤技术,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,"Direct watch: clear global consumer-electronics, semiconductor, or intelligent-manufacturing platform after company-by-company review.","Global smart-product ODM platform across phones, PCs, wearables, AIoT, data-center products, and automotive electronics, with end-to-end product design and manufacturing scale.","Retained. 华勤技术: Global smart-product ODM platform across phones, PCs, wearables, AIoT, data-center products, and automotive electronics, with end-to-end product design and manufacturing scale. triage 71.93; moat 69.53; technology 79.20; market 84.14; quality 56.19; governance 66.84.","Retain consumer-electronics companies when global platform scale, leading-customer qualification, semiconductor/system capability, or differentiated terminal ecosystem creates barriers not easily bought with capital.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SH603296;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603296.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22603296.SH%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
电子设备-消费电子设备-消费电子设备,002475,立讯精密,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,"Direct watch: clear global consumer-electronics, semiconductor, or intelligent-manufacturing platform after company-by-company review.","Consumer-electronics, automotive, and enterprise-communications component/module/system platform with global leading-customer validation and process-integration depth.","Retained. 立讯精密: Consumer-electronics, automotive, and enterprise-communications component/module/system platform with global leading-customer validation and process-integration depth. triage 71.69; moat 69.77; technology 74.71; market 85.07; quality 58.42; governance 67.26.","Retain consumer-electronics companies when global platform scale, leading-customer qualification, semiconductor/system capability, or differentiated terminal ecosystem creates barriers not easily bought with capital.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002475;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002475.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002475.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
电子设备-消费电子设备-消费电子设备,001308,康冠科技,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"Flat-panel display and smart-interaction ODM/solution provider with global customers, but display assembly and solution delivery remain contestable by larger brands, panel makers, and ODM platforms.","Rejected for now. 康冠科技: Flat-panel display and smart-interaction ODM/solution provider with global customers, but display assembly and solution delivery remain contestable by larger brands, panel makers, and ODM platforms. triage 70.75; moat 68.14; technology 80.68; market 78.28; quality 53.77; governance 68.09.","Reject ordinary ODM/EMS, accessories, structures, legacy consumer electronics, distribution, and low-barrier component suppliers when stronger retained peers already cover the durable thesis.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001308;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22001308.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22001308.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
电子设备-消费电子设备-消费电子设备,002416,爱施德,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"Mobile-device distribution and supply-chain service network has scale, but distribution is capital-, brand-, and channel-dependent with limited proprietary product or technology barrier.","Rejected for now. 爱施德: Mobile-device distribution and supply-chain service network has scale, but distribution is capital-, brand-, and channel-dependent with limited proprietary product or technology barrier. triage 70.16; moat 68.84; technology 77.00; market 79.67; quality 47.81; governance 67.67.","Reject ordinary ODM/EMS, accessories, structures, legacy consumer electronics, distribution, and low-barrier component suppliers when stronger retained peers already cover the durable thesis.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002416;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002416.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22002416.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
电子设备-消费电子设备-消费电子设备,300822,贝仕达克,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"Smart controllers, pet-tech AI, and smart-home products show engineering capability, but there is not enough evidence of a dominant control-platform or irreplaceable customer position.","Rejected for now. 贝仕达克: Smart controllers, pet-tech AI, and smart-home products show engineering capability, but there is not enough evidence of a dominant control-platform or irreplaceable customer position. triage 69.06; moat 65.56; technology 84.34; market 57.91; quality 55.67; governance 71.02.","Reject ordinary ODM/EMS, accessories, structures, legacy consumer electronics, distribution, and low-barrier component suppliers when stronger retained peers already cover the durable thesis.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300822;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300822.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22300822.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
电子设备-消费电子设备-消费电子设备,301086,鸿富瀚,advance_to_deep_review,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,"Functional protective materials and precision processing have customer qualification value, but the business is process-supplier led and easier for stronger material/component suppliers to replicate.","Rejected for now. 鸿富瀚: Functional protective materials and precision processing have customer qualification value, but the business is process-supplier led and easier for stronger material/component suppliers to replicate. triage 68.88; moat 63.02; technology 82.10; market 62.00; quality 66.98; governance 68.23.","Reject ordinary ODM/EMS, accessories, structures, legacy consumer electronics, distribution, and low-barrier component suppliers when stronger retained peers already cover the durable thesis.",true,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301086;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301086.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_MAINFINADATA&sty=APP_F10_MAINFINADATA&st=REPORT_DATE&ps=12&sr=-1;https://datacenter.eastmoney.com/securities/api/data/get?filter=%28SECUCODE%3D%22301086.SZ%22%29&client=APP&source=HSF10&type=RPT_F10_FINANCE_GINCOME&sty=APP_F10_GINCOME&st=REPORT_DATE&ps=12&sr=-1,2026-05-15T00:00:00+00:00
